model,rmse,mae,r2
B2_HGBR,0.4432922009906094,0.3006575107574463,0.8513904809951782
M9_ObserverCombiner,0.521098705079456,0.36996492743492126,0.7946444153785706
M4_GEO,0.5233344360914983,0.37020841240882874,0.7928785085678101
M7_LearnedCombiner,0.5247294864361511,0.37164774537086487,0.7917727828025818
B1_MLP,0.5729567484850956,0.4082804024219513,0.7517380118370056
M6_Uniform,0.5920813352088939,0.4155108630657196,0.7348880767822266
M8B_FourViewCombiner,0.6030168416579804,0.37607693672180176,0.7250045537948608
M8A_KappaFeature,0.6602588776941658,0.4681595265865326,0.6703181266784668
M5_SOCIO,0.6790610528711943,0.4651937186717987,0.6512740850448608
M3_FULL,0.6882845130522645,0.48450881242752075,0.6417365074157715
M8B_CurvView,0.7056771689727984,0.4641343951225281,0.623401403427124
B0_Mean,1.1499222480363316,0.9117738604545593,-8.106231689453125e-06
