row_idx,kappa,lid,lof,density,forman,curvature_bin,y
0,0.3734827,0.23967399,1.1295422,1.1178541,0.0015011822,low,4.526
1,0.3991214,0.13923939,1.5224727,0.96434873,0.0015011822,medium,3.585
2,0.22973895,0.25714284,1.2214434,1.1795915,0.0015011822,low,3.521
3,0.3532582,0.20588046,1.0314771,1.6889801,0.0015011822,low,3.413
4,0.346789,0.092747286,1.0603414,1.5216616,0.0015011822,low,3.422
5,0.3293599,0.14330472,1.0503789,1.4625565,0.0015011822,low,2.697
6,0.45321566,0.25178498,1.0519077,1.9654979,0.0015011822,high,2.992
7,0.27158183,0.1976229,1.0841691,1.8384687,0.0015011822,low,2.414
8,0.4702459,0.18000485,1.0456156,1.5694824,0.0015011822,high,2.267
9,0.18890405,0.16937743,1.0419252,2.0047283,0.0015011822,low,2.611
10,0.43901867,0.23104198,0.9951206,2.225747,0.0015011822,high,2.815
11,0.31599116,0.41367888,0.98425007,2.6985972,0.0015011822,low,2.418
12,0.42462558,0.14979848,0.97812164,2.2204251,0.0015011822,medium,2.135
13,0.41960835,0.1861094,1.1227216,1.2232388,0.0015011822,medium,1.913
14,0.38402086,0.17233297,1.0256777,1.8256599,0.0015011822,low,1.592
15,0.33222592,0.14773028,1.0616479,1.7227304,0.0015011822,low,1.4
16,0.46403754,0.1123352,1.0837553,1.745968,0.0015011822,high,1.525
17,0.4090469,0.28337085,1.0419004,1.6092306,0.0015011822,medium,1.555
18,0.44732958,0.23369396,1.0210403,2.0130692,0.0015011822,high,1.587
19,0.298886,0.16535652,1.0342555,1.7799876,0.0015011822,low,1.629
20,0.45494235,0.17684852,1.1222099,1.2545995,0.0015011822,high,1.475
21,0.5142682,0.16897546,1.0088507,1.8901105,0.0015011822,high,1.598
22,0.39162534,0.12205405,1.0867857,1.5549552,0.0015011822,medium,1.139
23,0.39704603,0.14751564,1.0240327,1.9064254,0.0015011822,medium,0.997
24,0.48691016,0.26967764,1.0236287,2.1755412,0.0015011822,high,1.326
25,0.45689702,0.23975138,1.0993907,1.2896416,0.0015011822,high,1.075
26,0.44633257,0.22321382,1.0027025,1.9715661,0.0015011822,high,0.938
27,0.4936486,0.17209089,1.001911,1.8383279,0.0015011822,high,1.055
28,0.4757626,0.24923192,1.0283905,1.9562852,0.0015011822,high,1.089
29,0.40103066,0.14362206,1.1245577,1.365164,0.0015011822,medium,1.32
30,0.43636417,0.2048836,1.0400964,1.4947639,0.0015011822,medium,1.223
31,0.3362558,0.19902663,1.0056479,1.9540801,0.0015011822,low,1.152
32,0.33721012,0.24104619,1.0956044,1.1879932,0.0015011822,low,1.104
33,0.42250383,0.21685505,1.0500604,1.5883199,0.0015011822,medium,1.049
34,0.3897692,0.1529788,0.96723247,2.3143365,0.0015011822,low,1.097
35,0.392855,0.09206747,1.046942,1.5576135,0.0015011822,medium,0.972
36,0.38480014,0.20528094,1.071895,1.4147748,0.0015011822,low,1.045
37,0.4250809,0.19789612,1.1692383,1.3418019,0.0015011822,medium,1.039
38,0.34487516,0.36466745,0.992055,2.2678778,0.0015011822,low,1.914
39,0.3943746,0.4232375,1.0099837,1.908131,0.0015011822,medium,1.76
40,0.42182797,0.34937066,1.0194638,2.1121206,0.0015011822,medium,1.554
41,0.42736274,0.2937157,1.0924622,1.0210763,0.0015011822,medium,1.5
42,0.4079305,0.12100679,1.1123815,1.2647105,0.0015011822,medium,1.188
43,0.37787122,0.14668255,0.9928194,1.9102749,0.0015011822,low,1.888
44,0.4039126,0.34530532,0.9919433,2.287218,0.0015011822,medium,1.844
45,0.29469997,0.1553742,0.99933636,1.8953022,0.0015011822,low,1.823
46,0.29944617,0.18081771,1.040978,1.6417675,0.0015011822,low,1.425
47,0.45766944,0.202161,1.05705,1.1214058,0.0015011822,high,1.375
48,0.38141006,0.19475836,1.0750201,0.9987822,0.0015011822,low,1.875
49,0.39733458,0.15310504,1.2534926,0.9741358,0.0015011822,medium,1.125
50,0.47727126,0.19528939,1.1584451,0.78866845,0.0015011822,high,1.719
51,0.47086424,0.12272523,1.0292797,1.6825892,0.0015011822,high,0.938
52,0.4222446,0.0646874,1.1875597,1.0573606,0.0015011822,medium,0.975
53,0.37619287,0.19103551,1.0661025,1.4206232,0.0015011822,low,1.042
54,0.46925306,0.16112714,1.0832574,1.5327214,0.0015011822,high,0.875
55,0.38864857,0.35539636,1.1069067,1.4732001,0.0015011822,low,0.831
56,0.40795457,0.24308027,1.0442445,1.583791,0.0015011822,medium,0.875
57,0.37128752,0.14037108,1.1229872,0.763383,0.0015011822,low,0.853
58,0.47215718,0.09156797,1.0862292,1.306734,0.0015011822,high,0.803
59,0.44090194,0.17425111,1.1385876,0.42517716,0.0015011822,high,0.6
60,0.4244643,0.116559155,1.0359939,1.4754839,0.0015011822,medium,0.757
61,0.30937266,0.10587065,1.4809693,0.48330665,0.0015011822,low,0.75
62,0.41858846,0.16104153,1.1959838,0.61266917,0.0015011822,medium,0.861
63,0.47758448,0.2022685,1.2041193,0.6044031,0.0015011822,high,0.761
64,0.38148147,0.143357,1.048514,0.932675,0.0015011822,low,0.735
65,0.39772117,0.23282672,1.1345533,1.2256675,0.0015011822,medium,0.784
66,0.38620645,0.06294068,1.0910318,1.4459771,0.0015011822,low,0.844
67,0.3249069,0.16481584,1.223298,0.5709161,0.0015011822,low,0.813
68,0.3889975,0.1953312,1.1063638,0.78587496,0.0015011822,low,0.85
69,0.37594151,0.20251074,1.1893086,1.3713597,0.0015011822,low,1.292
70,0.39006013,0.18278429,1.0768989,1.0825584,0.0015011822,low,0.825
71,0.40960085,0.14933424,1.1420995,1.1288694,0.0015011822,medium,0.952
72,0.37932944,0.2827584,1.0657046,0.8879704,0.0015011822,low,0.75
73,0.44068485,0.1928953,1.1951555,0.335967,0.0015011822,high,0.675
74,0.4185933,0.13105287,1.120669,0.94532573,0.0015011822,medium,1.375
75,0.34060198,0.22539307,1.1202903,1.1080511,0.0015011822,low,1.775
76,0.43583202,0.13127695,1.0722574,1.6877968,0.0015011822,medium,1.021
77,0.42245263,0.13177001,1.124748,1.1383512,0.0015011822,medium,1.083
78,0.46632499,0.19739956,1.1368108,1.2663226,0.0015011822,high,1.125
79,0.44434083,0.17734574,1.1275123,1.1563574,0.0015011822,high,1.313
80,0.40080947,0.17641738,1.1434696,1.114808,0.0015011822,medium,1.625
81,0.3611374,0.13629115,1.2119386,0.78595066,0.0015011822,low,1.125
82,0.3689322,0.21864003,1.1717305,0.92706215,0.0015011822,low,1.125
83,0.37587047,0.12037402,1.4730746,0.71735704,0.0015011822,low,1.375
84,0.38735163,0.1980373,1.0436665,1.4840835,0.0015011822,low,1.188
85,0.4124992,0.25439963,1.117705,0.9292635,0.0015011822,medium,0.982
86,0.47396308,0.18362713,1.2378936,0.6734564,0.0015011822,high,1.188
87,0.3798375,0.2985167,1.1202115,0.9308151,0.0015011822,low,1.625
88,0.39477378,0.108833715,1.4765155,0.49879855,0.0015011822,medium,1.375
89,0.32200634,0.27310988,1.3780698,0.6760452,0.0015011822,low,5.00001
90,0.4249435,0.14892603,1.2681186,0.9371557,0.0015011822,medium,1.625
91,0.3551191,0.11618477,1.416586,0.3869823,0.0015011822,low,1.375
92,0.36401254,0.23347992,1.4039593,0.4899055,0.0015011822,low,1.625
93,0.4081543,0.05985557,1.1882606,1.1056422,0.0015011822,medium,1.875
94,0.4926117,0.13699463,1.2844543,0.68792194,0.0015011822,high,1.792
95,0.31903535,0.18605465,1.3795924,0.7219342,0.0015011822,low,1.3
96,0.42553955,0.28203884,1.029681,1.5536493,0.0015011822,medium,1.838
97,0.37553215,0.22498226,1.1064993,0.87651175,0.0015011822,low,1.25
98,0.38310975,0.24799708,1.1331311,1.03552,0.0015011822,low,1.7
