model,rmse,mae,r2,bin,n_rows
B0_Mean,1.3285301936763212,1.03663969039917,-0.040627479553222656,low,994
B0_Mean,1.1146137494842083,0.8895195126533508,-0.00041294097900390625,medium,1049
B0_Mean,0.9920215317692787,0.8160738945007324,-0.05938422679901123,high,1053
B1_MLP,0.6569655014688666,0.46381258964538574,0.7455294132232666,low,994
B1_MLP,0.5546580562030206,0.39475303888320923,0.7522685527801514,medium,1049
B1_MLP,0.5012984403667772,0.36933574080467224,0.7294771671295166,high,1053
B2_HGBR,0.5031134408606259,0.33928975462913513,0.8507603406906128,low,994
B2_HGBR,0.43039312511859784,0.2940039336681366,0.850836992263794,medium,1049
B2_HGBR,0.392800092812263,0.2708181142807007,0.833905816078186,high,1053
M3_FULL,0.8187934252455883,0.5482277274131775,0.604723334312439,low,994
M3_FULL,0.6375311367060429,0.4678608179092407,0.672709584236145,medium,1049
M3_FULL,0.5959049820892226,0.4409447908401489,0.6177343130111694,high,1053
M4_GEO,0.6060000150006988,0.4262005090713501,0.783480167388916,low,994
M4_GEO,0.4895805923574568,0.3516485095024109,0.806990385055542,medium,1049
M4_GEO,0.46884168681861826,0.33584296703338623,0.7633733153343201,high,1053
M5_SOCIO,0.8216012549591323,0.5305701494216919,0.6020077466964722,low,994
M5_SOCIO,0.6233587650306128,0.4505339562892914,0.6870992183685303,medium,1049
M5_SOCIO,0.5757399928556274,0.41808444261550903,0.6431677341461182,high,1053
M6_Uniform,0.6971515380530513,0.47191154956817627,0.713445782661438,low,994
M6_Uniform,0.5542132270823878,0.40175876021385193,0.7526657581329346,medium,1049
M6_Uniform,0.5156873029579726,0.37597018480300903,0.7137244939804077,high,1053
M7_LearnedCombiner,0.607049588745081,0.4276078939437866,0.7827295064926147,low,994
M7_LearnedCombiner,0.4932764208620393,0.35406026244163513,0.8040653467178345,medium,1049
M7_LearnedCombiner,0.46828498026775267,0.336343914270401,0.7639349102973938,high,1053
M8A_KappaFeature,0.7716612021690105,0.525527834892273,0.6489202380180359,low,994
M8A_KappaFeature,0.6283463064502093,0.4565180540084839,0.6820720434188843,medium,1049
M8A_KappaFeature,0.5712504577634885,0.4256027936935425,0.648711085319519,high,1053
M8B_FourViewCombiner,0.8059608606367473,0.4428730607032776,0.6170161962509155,low,994
M8B_FourViewCombiner,0.4902400134244894,0.3526809811592102,0.8064701557159424,medium,1049
M8B_FourViewCombiner,0.46533107056973894,0.3363305926322937,0.7669036984443665,high,1053
M8B_CurvView,0.897259545378293,0.5329521298408508,0.5253334045410156,low,994
M8B_CurvView,0.6167031331062679,0.4477674067020416,0.6937452554702759,medium,1049
M8B_CurvView,0.5703533889535388,0.41547736525535583,0.6498135328292847,high,1053
M9_ObserverCombiner,0.6001118098825453,0.4255222976207733,0.7876673340797424,low,994
M9_ObserverCombiner,0.48932233069037784,0.35165297985076904,0.8071939945220947,medium,1049
M9_ObserverCombiner,0.46893791564674875,0.33576273918151855,0.7632761597633362,high,1053
