model,rmse,mae,r2,n_features,note
H2_all_geo_priors,0.4196642062951085,0.2775428593158722,0.8668103814125061,26,raw + all geo priors
H1_kmeans96_aug,0.42310889257089873,0.2770501673221588,0.8646149039268494,13,raw + segment priors
H4_all_geo_target_stats_only,0.4247898318444563,0.2804768979549408,0.863537073135376,16,raw + per-segment target mean/std only
H5_all_geo_structure_only,0.4251427368685868,0.28371864557266235,0.8633102178573608,18,raw + segment count/density/centroid structure only
H3_all_geo_priors_shuffled,0.42601801037885717,0.283330500125885,0.8627468347549438,26,raw + geo priors built from shuffled train targets
H1_kmeans32_aug,0.4265495333255285,0.2834833562374115,0.8624041080474854,13,raw + segment priors
H1_grid_coarse_aug,0.42907728735106215,0.2851416766643524,0.8607684373855591,12,raw + segment priors
H1_grid_fine_aug,0.4377080048231986,0.29150113463401794,0.8551109433174133,12,raw + segment priors
B1_HGBR_raw,0.44078246069481225,0.2978663742542267,0.8530684113502502,8,raw scaled features
S0_kmeans96_mean,0.8269187851642613,0.5959782004356384,0.4828788638114929,1,segment train mean only
S0_grid_fine_mean,0.8284927487306387,0.6061614155769348,0.4809083938598633,1,segment train mean only
S0_grid_coarse_mean,0.8779455062578275,0.6465575695037842,0.4170897603034973,1,segment train mean only
S0_kmeans32_mean,0.9163160339853501,0.6785466074943542,0.36502426862716675,1,segment train mean only
