model,rmse,mae,r2,n_features,note
H1_kmeans32_aug,0.6305516912838595,0.43479567766189575,0.7544373273849487,13,raw + segment priors
B1_HGBR_raw,0.6543728912377833,0.46478915214538574,0.7355329394340515,8,raw scaled features
H1_kmeans96_aug,0.6780419654813495,0.4563501477241516,0.7160550355911255,13,raw + segment priors
H1_grid_coarse_aug,0.6788007717919444,0.46800053119659424,0.7154191732406616,12,raw + segment priors
H2_all_geo_priors,0.7209913716322406,0.510806143283844,0.6789437532424927,26,raw + all geo priors
H1_grid_fine_aug,0.7378613524237079,0.5230764150619507,0.6637436151504517,12,raw + segment priors
S0_kmeans96_mean,0.9598809303014061,0.6711078882217407,0.4309430718421936,1,segment train mean only
S0_kmeans32_mean,0.9976964884195798,0.7560779452323914,0.3852226138114929,1,segment train mean only
S0_grid_coarse_mean,1.0475916331232002,0.7652406096458435,0.32219457626342773,1,segment train mean only
S0_grid_fine_mean,1.0674466936796685,0.7735241651535034,0.2962581515312195,1,segment train mean only
