row_idx,kappa,curvature_bin,lid,lof,density
0,0.22020245,low,0.22284853,1.1110162,1.6718025
1,0.26698577,medium,0.13687699,1.5304115,1.3164237
2,0.2752267,medium,0.17578612,1.0730855,1.9783041
3,0.21619737,low,0.2020458,1.0701588,2.816183
4,0.22786993,low,0.41194737,1.0224301,3.2138488
5,0.32090527,high,0.31566307,1.1130712,2.4263732
6,0.189093,low,0.24689649,1.0064659,3.6832585
7,0.3046053,medium,0.22826795,1.0635775,3.257151
8,0.3477038,high,0.34379515,0.99392927,3.813934
9,0.37477326,high,0.52697563,1.0572356,4.0005364
10,0.3708225,high,0.30927017,0.98703635,4.2137604
11,0.38381487,high,0.30044088,0.9903575,5.5950212
12,0.34951425,high,0.20447958,0.98735577,5.169009
13,0.2748055,medium,0.19231375,1.1721628,1.7092906
14,0.1672324,low,0.39030027,1.0507023,3.5855937
15,0.32603085,high,0.27381054,1.0998442,2.7993827
16,0.29267234,medium,0.4919298,0.9902437,4.9073873
17,0.2686447,medium,0.25778282,1.1130792,2.5207355
18,0.28825098,medium,0.2173148,1.0043062,4.354566
19,0.3125977,high,0.320738,1.0010128,3.8803153
20,0.31289893,high,0.31066138,1.136048,2.1376808
21,0.25593436,low,0.212552,1.0514052,3.6203103
22,0.27750432,medium,0.375485,1.0059209,3.7533915
23,0.29118752,medium,0.2524271,1.008213,4.5861297
24,0.25689113,low,0.25747553,0.98888344,4.8465805
25,0.29910535,medium,0.30967858,1.1173633,2.260428
26,0.30413944,medium,0.39432815,1.0225941,3.936658
27,0.09984505,low,0.21911861,1.0518138,4.105123
28,0.35840845,high,0.40904102,1.0503268,3.5173457
29,0.3419,high,0.295106,1.0806174,2.2613127
30,0.31370008,high,0.40602297,1.00236,3.156153
31,0.30333704,medium,0.42522892,1.0344063,4.270876
32,0.3434369,high,0.44951496,1.0466028,2.5462942
33,0.3089679,medium,0.09659612,1.0755225,2.8846912
34,0.36242133,high,0.27384543,1.0245386,4.4381714
35,0.33827496,high,0.2680227,1.1336994,2.602962
36,0.27126503,medium,0.2613867,1.1370034,2.506423
37,0.37569153,high,0.1355446,1.1689572,1.9862902
38,0.2714582,medium,0.34011185,0.9967634,4.0411463
39,0.32897717,high,0.25170708,1.044278,3.1487808
40,0.36046332,high,0.4840221,1.028473,3.8578475
41,0.31999797,high,0.23309274,1.0927306,1.4396523
42,0.2924626,medium,0.18992823,1.2466553,1.6928717
43,0.3237605,high,0.21668859,1.0230442,3.1440804
44,0.36577386,high,0.43029225,1.0101103,3.9632642
45,0.29680008,medium,0.20377015,1.0442466,2.8195088
46,0.29093397,medium,0.32969266,1.1228055,2.5097573
47,0.32321155,high,0.191723,1.1175687,1.6794587
48,0.31016088,high,0.24520262,1.0793611,1.5717251
49,0.3193397,high,0.22743884,1.1945008,1.7975454
50,0.2944008,medium,0.28491837,1.1683917,1.3898591
51,0.26547605,medium,0.23195848,1.0305558,3.4451163
52,0.37736744,high,0.19270861,1.1138445,2.301481
53,0.18751061,low,0.26188615,1.0703315,2.3362095
54,0.27037382,medium,0.18042599,1.091688,2.7456014
55,0.22146219,low,0.39077845,1.1075616,2.3211267
56,0.30280071,medium,0.3003849,1.11768,2.506886
57,0.23402125,low,0.24026035,1.091778,1.4549588
58,0.2079323,low,0.25789502,1.0533288,2.7534072
59,0.3370555,high,0.255914,1.2238472,0.6687674
60,0.31880116,high,0.17897698,1.0698564,2.426347
61,0.29883915,medium,0.15816122,1.322658,0.72612804
62,0.3025356,medium,0.13935867,1.1944187,0.9204237
63,0.2236759,low,0.21587479,1.0960993,1.0273676
64,0.17175865,low,0.1376852,1.0264047,1.3696048
65,0.1888845,low,0.5109334,1.0947328,2.4078326
66,0.29557407,medium,0.207987,1.0692531,2.5629244
67,0.32281703,high,0.14822538,1.1395687,0.9042513
68,0.34650046,high,0.35086766,1.0559846,1.3018199
69,0.31116915,high,0.33772662,1.0173786,3.872988
