model,bin,rmse,n
B1_HGBR,low,0.4612723766626314,968
B1_HGBR,medium,0.4419229909257409,1070
B1_HGBR,high,0.4276132281416217,1058
G2_GoRA_v1,low,0.4812389186722785,968
G2_GoRA_v1,medium,0.4453791016414698,1070
G2_GoRA_v1,high,0.4385876928929782,1058
G7_RichCtx,low,0.5285796482641923,968
G7_RichCtx,medium,0.48219779057378276,1070
G7_RichCtx,high,0.46915075337246726,1058
G8_LabelCtx,low,0.5497213134428282,968
G8_LabelCtx,medium,0.5098431699973387,1070
G8_LabelCtx,high,0.4924525349637647,1058
G9_Teacher,low,0.5417835555746222,968
G9_Teacher,medium,0.505108456390515,1070
G9_Teacher,high,0.48385737048163907,1058
G10_Full,low,0.5505726737230955,968
G10_Full,medium,0.5129513927524473,1070
G10_Full,high,0.5005754199580797,1058
