row_idx,kappa,lid,lof,density,curvature_bin,label
0,0.4376824,0.18042006,0.99511683,0.35346067,low,1
1,0.60982275,0.17230378,1.1447394,0.09659655,high,5
2,0.52128613,0.08734318,1.1156323,0.1094782,medium,8
3,0.5610008,0.10270527,1.0924243,0.063064195,high,2
4,0.5465101,0.07222094,1.1883368,0.10354262,high,5
5,0.47662652,0.07397079,1.0037442,0.14152826,medium,9
6,0.34332335,0.2303472,1.2376812,0.041907005,low,6
7,0.56735945,0.060202386,1.0799118,0.09187868,high,2
8,0.47561884,0.12913889,1.3259301,0.060781915,medium,4
9,0.48844343,0.15268788,0.99520594,0.41227478,medium,1
10,0.3416826,0.1530992,0.96631014,0.41382566,low,1
11,0.4883927,0.09894861,1.038882,0.114046805,medium,9
12,0.596594,0.07393539,1.040034,0.080059595,high,2
13,0.45309514,0.14733282,1.0056897,0.14859894,low,9
14,0.5279122,0.15379018,0.99301845,0.11929937,medium,0
15,0.4526301,0.0521532,1.1177824,0.09114883,low,5
16,0.51501215,0.10571321,1.1316693,0.084418975,medium,8
17,0.5372323,0.11510113,0.96206325,0.14773038,high,8
18,0.48771846,0.14847453,1.0242927,0.10712948,medium,2
19,0.48773074,0.1644405,1.0338314,0.12207115,medium,4
20,0.6167834,0.060006358,1.044052,0.10379247,high,5
21,0.4776742,0.15567778,1.0719801,0.08519713,medium,3
22,0.5073659,0.12012306,1.094705,0.101711504,medium,3
23,0.57172906,0.24550338,1.0379289,0.11246264,high,5
24,0.5165862,0.100308366,1.0315751,0.12216256,medium,6
25,0.3429417,0.23268652,1.0692649,0.058852807,low,7
26,0.47801757,0.10208237,1.0628359,0.09312823,medium,5
27,0.43742704,0.15827172,1.1946164,0.07387612,low,7
28,0.5694519,0.21525295,1.0516263,0.0818853,high,0
29,0.536748,0.20218419,0.98470557,0.17989165,high,4
30,0.42804164,0.18063816,1.1767957,0.28174987,low,1
31,0.4051234,0.18644501,1.1437666,0.13386586,low,6
32,0.537236,0.041036196,1.0832193,0.08210117,high,2
33,0.4956913,0.14710516,1.0495527,0.13716103,medium,6
34,0.54482526,0.09039115,1.0962722,0.0661471,high,5
35,0.4967454,0.08563797,1.1605399,0.07727375,medium,5
36,0.31479657,0.38682184,1.1698501,0.21180552,low,1
37,0.3945402,0.12704326,1.0468408,0.11781134,low,6
38,0.45570576,0.1726477,1.1738741,0.07203563,low,4
39,0.33633465,0.19467026,1.0047339,0.427345,low,1
40,0.5588961,0.10893868,1.266808,0.0827464,high,2
41,0.57629836,0.04846692,1.2001582,0.08164726,high,3
42,0.5658797,0.12143391,1.10869,0.07640108,high,0
