model,accuracy,macro_f1,log_loss
M2_HGBR,0.9553333333333334,0.95497924041603,0.17440371407246133
M8_Uniform,0.954,0.9539026402071128,
M9_Combiner,0.954,0.9539026402071128,
M11_ObsCombiner,0.952,0.9518240284125576,
M1_MLP,0.946,0.9454781659114205,0.2060687842838331
M7_PCA,0.9453333333333334,0.9447749360381248,
M3_XGBoost,0.9426666666666667,0.9421860396269279,0.1883442102479267
M10_KappaFeature,0.9386666666666666,0.9378290546990785,
M6_BLOCK,0.938,0.9371780385940411,
M5_FULL,0.9366666666666666,0.9362769177574093,
M0_Majority,0.11266666666666666,0.02025164769322948,
