row_idx,kappa,curvature_bin,lid,lof,density,label
0,0.43368524,low,0.1762339,0.9910739,0.34468842,1
1,0.5947063,high,0.1551342,1.1571712,0.093636684,5
2,0.58362126,high,0.084491454,1.1039437,0.10701586,8
3,0.5640623,high,0.10673672,1.088457,0.06189691,2
4,0.5119642,medium,0.07550329,1.1849754,0.097995825,5
5,0.48371112,medium,0.070946924,0.9976429,0.13758941,9
6,0.41094255,low,0.22847043,1.2705172,0.04076225,6
7,0.5586041,high,0.05964799,1.0898519,0.0908887,2
8,0.5000403,medium,0.12691376,1.2940141,0.060438555,4
9,0.4782653,medium,0.14925084,0.9941546,0.40529063,1
10,0.3372857,low,0.148224,0.96465296,0.40126118,1
11,0.5076661,medium,0.10403001,1.0421917,0.11135225,9
12,0.6122184,high,0.07946917,1.039454,0.07817522,2
13,0.4681964,low,0.14911829,0.99227446,0.14418831,9
14,0.5081278,medium,0.15354748,0.99739456,0.11499229,0
15,0.45646954,low,0.058485422,1.1341616,0.08912592,5
16,0.5466832,high,0.10903554,1.1080822,0.08270047,8
17,0.5278016,medium,0.12154278,0.9701271,0.14386001,8
18,0.48753458,medium,0.13191345,1.0240961,0.105164155,2
19,0.50347674,medium,0.16630891,1.0347227,0.1180848,4
20,0.6105916,high,0.054508932,1.0402291,0.10113253,5
21,0.5496428,high,0.14862913,1.1002038,0.08347729,3
22,0.48376012,medium,0.11300583,1.1094334,0.099006616,3
23,0.55907285,high,0.24579136,1.0384796,0.10950996,5
24,0.47676992,low,0.09952689,1.030745,0.11674837,6
25,0.36045635,low,0.2277611,1.0601841,0.05752912,7
26,0.4638301,low,0.09361906,1.0748236,0.08963415,5
27,0.46543765,low,0.15565906,1.2057408,0.070170455,7
28,0.5772859,high,0.20116305,1.0616119,0.0792882,0
29,0.49723655,medium,0.20416261,0.9855827,0.17459328,4
30,0.377747,low,0.17835173,1.1820818,0.27772436,1
31,0.4143139,low,0.1845822,1.1331103,0.1312259,6
32,0.54639053,high,0.050808515,1.1231792,0.0762151,2
33,0.46787202,low,0.14954552,1.0557023,0.13074578,6
34,0.54323334,high,0.07421221,1.1083573,0.0637767,5
35,0.51409876,medium,0.08455303,1.1466029,0.07588065,5
36,0.3203898,low,0.37944904,1.1615468,0.20919934,1
37,0.40684867,low,0.1227915,1.0486716,0.11420552,6
38,0.53153384,high,0.17090991,1.1546205,0.06683829,4
39,0.3305341,low,0.19589467,1.0060275,0.4171304,1
40,0.5700177,high,0.10644369,1.25752,0.081103735,2
41,0.55880976,high,0.046199176,1.2007915,0.08009771,3
42,0.57837105,high,0.122202285,1.1224377,0.07486744,0
43,0.59813684,high,0.10306912,0.9950073,0.14755309,8
44,0.5197816,medium,0.10040134,1.0400306,0.098365344,8
45,0.5352135,high,0.09226491,1.0891159,0.08251877,3
46,0.53324586,high,0.08551915,1.0876465,0.08630516,5
47,0.44814646,low,0.22843572,1.0050948,0.40867138,1
48,0.47344607,low,0.13199972,1.0533901,0.11288214,3
49,0.47942966,medium,0.13945338,1.1371822,0.08135781,0
50,0.55618936,high,0.080882765,1.0903145,0.08417232,4
51,0.48189056,medium,0.17037359,1.1186556,0.09536986,6
52,0.4300766,low,0.2100798,0.9998801,0.4458706,1
53,0.5353812,high,0.06049255,1.0483843,0.10155912,3
54,0.5553601,high,0.1399722,1.0135589,0.1425593,9
55,0.4668094,low,0.22691402,0.9926487,0.16220337,4
56,0.5116173,medium,0.07997915,1.1981364,0.0861382,7
57,0.4265703,low,0.28634065,0.97350794,0.55500966,1
58,0.29711574,low,0.061751004,1.435082,0.045883484,4
59,0.5205176,medium,0.13216265,1.2503308,0.074488245,4
60,0.51933503,medium,0.12782377,0.98445237,0.09053086,0
61,0.48825318,medium,0.22584201,1.0357784,0.11366521,0
62,0.48793596,medium,0.13970415,1.0728694,0.07543945,0
63,0.5621567,high,0.07699574,0.9794588,0.15243544,9
64,0.5161842,medium,0.1836079,1.0122471,0.078293696,0
65,0.49869168,medium,0.15201364,1.011772,0.13182357,6
66,0.47185415,low,0.2191536,1.0238171,0.12626211,6
67,0.33354247,low,0.146961,0.98513013,0.37823656,1
68,0.5304795,medium,0.13541256,1.1236451,0.08119703,6
69,0.54870456,high,0.12905137,1.1281644,0.07129133,5
70,0.52985895,medium,0.074325874,1.2016355,0.079650536,5
71,0.5609087,high,0.083689384,1.1981843,0.09547325,9
72,0.47610503,low,0.113983996,1.1215826,0.13454367,4
73,0.39083302,low,0.20580253,1.194753,0.29421183,1
74,0.39704633,low,0.2068932,0.9987793,0.41299677,1
75,0.559324,high,0.07833873,1.1184402,0.09208463,3
76,0.4456826,low,0.10819003,1.1619998,0.1080683,3
77,0.51565737,medium,0.20560376,1.0303174,0.10668465,3
78,0.30823123,low,0.1873635,1.1985877,0.19818458,1
79,0.56931233,high,0.10204423,0.99386203,0.11789869,2
80,0.5610887,high,0.19563904,1.01117,0.13743566,4
