model,regime,kappa_lo,kappa_hi,n,rmse
G2_ref,low,0.00023199455642700196,0.26650402943293255,1032,0.4797295878084856
G2_ref,medium,0.26650402943293255,0.31040336688359577,1032,0.4437008689492284
G2_ref,high,0.31040336688359577,0.43268804414367673,1032,0.42945923377403095
G10_ref,low,0.00023199455642700196,0.26650402943293255,1032,0.5416412041866122
G10_ref,medium,0.26650402943293255,0.31040336688359577,1032,0.490498718483638
G10_ref,high,0.31040336688359577,0.43268804414367673,1032,0.4721507529874738
CA_v4a,low,0.00023199455642700196,0.26650402943293255,1032,0.5112953472778524
CA_v4a,medium,0.26650402943293255,0.31040336688359577,1032,0.46703308704942753
CA_v4a,high,0.31040336688359577,0.43268804414367673,1032,0.4340987829831491
CA_v4b,low,0.00023199455642700196,0.26650402943293255,1032,0.6264958362836764
CA_v4b,medium,0.26650402943293255,0.31040336688359577,1032,0.5368303163560716
CA_v4b,high,0.31040336688359577,0.43268804414367673,1032,0.5410669901457617
CA_v4c,low,0.00023199455642700196,0.26650402943293255,1032,0.5596776729468622
CA_v4c,medium,0.26650402943293255,0.31040336688359577,1032,0.5231609752777275
CA_v4c,high,0.31040336688359577,0.43268804414367673,1032,0.5145713849810517
CA_v4d,low,0.00023199455642700196,0.26650402943293255,1032,0.5999201612203396
CA_v4d,medium,0.26650402943293255,0.31040336688359577,1032,0.5196975212484338
CA_v4d,high,0.31040336688359577,0.43268804414367673,1032,0.5008241893908946
CA_v4e,low,0.00023199455642700196,0.26650402943293255,1032,0.5861473470663462
CA_v4e,medium,0.26650402943293255,0.31040336688359577,1032,0.5121426755551786
CA_v4e,high,0.31040336688359577,0.43268804414367673,1032,0.49198729363854893
