head_idx,routing_entropy,dominant_view,mean_pi_FULL,top1_freq_FULL,mean_pi_GEO,top1_freq_GEO,mean_pi_SOCIO,top1_freq_SOCIO,mean_pi_LOWRANK,top1_freq_LOWRANK,tau,model,mean_beta,beta_std
0,0.9968228812471213,FULL,0.2842615842819214,0.97,0.24150802195072174,0.01,0.250553160905838,0.01,0.22367720305919647,0.01,1.0001643896102905,G2_ref,,
1,0.9985575842550489,FULL,0.261854350566864,0.7,0.2540360391139984,0.08,0.25252655148506165,0.21,0.23158302903175354,0.01,0.9995822310447693,G2_ref,,
2,0.9989150501948674,LOWRANK,0.23373574018478394,0.005,0.2519364058971405,0.05,0.25282979011535645,0.205,0.26149794459342957,0.74,1.00046968460083,G2_ref,,
3,0.9990588276909886,LOWRANK,0.24341309070587158,0.025,0.2434205859899521,0.01,0.24507686495780945,0.0,0.2680894434452057,0.965,0.9999943375587463,G2_ref,,
0,0.9995204291259044,LOWRANK,0.24604372680187225,0.0,0.25308549404144287,0.075,0.23972190916538239,0.0,0.2611488401889801,0.925,,G10_ref,,
1,0.9990847110799435,SOCIO,0.2577114403247833,0.055,0.2433542013168335,0.0,0.2647078037261963,0.945,0.2342265099287033,0.0,,G10_ref,,
2,0.9992120642329074,SOCIO,0.23696261644363403,0.0,0.24347107112407684,0.015,0.2627761662006378,0.845,0.25679028034210205,0.14,,G10_ref,,
3,0.9941551723582628,GEO,0.23461616039276123,0.0,0.305443674325943,1.0,0.230984166264534,0.0,0.22895602881908417,0.0,,G10_ref,,
0,0.9992456868411511,FULL,0.2587423026561737,0.605,0.25348737835884094,0.285,0.2343260645866394,0.0,0.2534444034099579,0.11,0.9963200688362122,CA_v4a,0.446868360042572,0.009414222091436386
1,0.9949354576452274,SOCIO,0.22015762329101562,0.0,0.2471815049648285,0.0,0.2978533208370209,1.0,0.23480744659900665,0.0,0.995757520198822,CA_v4a,0.49815696477890015,0.008821060881018639
2,0.9983365865486903,LOWRANK,0.2506747245788574,0.035,0.2445671260356903,0.02,0.23220911622047424,0.0,0.272549033164978,0.945,0.9970282316207886,CA_v4a,0.471477746963501,0.009187295101583004
3,0.9963409858594037,SOCIO,0.26516976952552795,0.135,0.2220279723405838,0.0,0.2815455198287964,0.865,0.23125673830509186,0.0,0.9955928921699524,CA_v4a,0.4717412292957306,0.007394869811832905
0,0.9966694727225516,SOCIO,0.22934046387672424,0.0,0.2303682118654251,0.0,0.28573381900787354,0.975,0.25455746054649353,0.025,0.9961276650428772,CA_v4b,0.4920393228530884,0.012289196252822876
1,0.9971373515242239,SOCIO,0.22708986699581146,0.0,0.23894335329532623,0.0,0.28100723028182983,0.985,0.25295954942703247,0.015,0.9967792630195618,CA_v4b,0.5021058917045593,0.012967994436621666
2,0.9957442920522351,SOCIO,0.22564944624900818,0.0,0.2747584581375122,0.365,0.2772826552391052,0.635,0.22230938076972961,0.0,1.0005704164505005,CA_v4b,0.44888970255851746,0.0134191382676363
3,0.9969811912772405,FULL,0.2724337875843048,0.98,0.26096877455711365,0.02,0.21417297422885895,0.0,0.2524243891239166,0.0,0.9980605244636536,CA_v4b,0.49319830536842346,0.008171118795871735
0,0.9929300539448416,LOWRANK,0.23077276349067688,0.0,0.28294864296913147,0.38,0.20297116041183472,0.0,0.28330740332603455,0.62,1.0026283264160156,CA_v4c,0.5127962231636047,0.0029860457871109247
1,0.997179831238987,GEO,0.23771825432777405,0.0,0.2886437177658081,1.0,0.23769250512123108,0.0,0.2359457165002823,0.0,1.0011560916900635,CA_v4c,0.44632139801979065,0.005188771989196539
2,0.9933898495619233,GEO,0.22518037259578705,0.0,0.30145835876464844,1.0,0.21407194435596466,0.0,0.25928929448127747,0.0,1.0009633302688599,CA_v4c,0.46993014216423035,0.003862138371914625
3,0.9807926363341751,LOWRANK,0.1781439632177353,0.0,0.29996004700660706,0.055,0.2105219066143036,0.0,0.3113740086555481,0.945,0.99626225233078,CA_v4c,0.4694276452064514,0.002351057715713978
0,0.9967808314889853,SOCIO,0.2226606011390686,0.0,0.2368411421775818,0.0,0.2851872146129608,1.0,0.25531110167503357,0.0,1.0007386207580566,CA_v4d,0.5286415219306946,0.003862170036882162
1,0.9969507503480377,LOWRANK,0.24077025055885315,0.0,0.22385987639427185,0.0,0.2494416981935501,0.0,0.28592807054519653,1.0,1.0010504722595215,CA_v4d,0.49640750885009766,0.0041851261630654335
2,0.9949528278929645,SOCIO,0.21371003985404968,0.0,0.23717071115970612,0.0,0.2943827509880066,1.0,0.2547365128993988,0.0,0.995686411857605,CA_v4d,0.5265700817108154,0.003778549376875162
3,0.9907336635106726,SOCIO,0.19987472891807556,0.0,0.23741638660430908,0.0,0.31091269850730896,1.0,0.2517961263656616,0.0,0.9978488683700562,CA_v4d,0.4837307035923004,0.005068872589617968
0,0.9969895324358073,GEO,0.22781938314437866,0.0,0.274201899766922,0.715,0.22732913494110107,0.0,0.27064985036849976,0.285,0.9981738328933716,CA_v4e,0.45003315806388855,0.005645933095365763
1,0.9978945051446474,SOCIO,0.2604645788669586,0.015,0.22323845326900482,0.0,0.27288174629211426,0.985,0.24341508746147156,0.0,0.9983983635902405,CA_v4e,0.4557584524154663,0.0041707102209329605
2,0.9980970147160384,LOWRANK,0.25868120789527893,0.0,0.24509401619434357,0.0,0.223935067653656,0.0,0.2722896635532379,1.0,0.9994853138923645,CA_v4e,0.40611863136291504,0.005164130125194788
3,0.9984781282703503,GEO,0.22482389211654663,0.0,0.2672473192214966,0.905,0.24876204133033752,0.0,0.25916698575019836,0.095,0.9956361651420593,CA_v4e,0.4803420603275299,0.0033123185858130455
