model,regime,kappa_lo,kappa_hi,n,accuracy
G2_ref,low,0.17621262209320068,0.47939087947209674,500,0.916
G2_ref,medium,0.47939087947209674,0.5319017569224039,500,0.934
G2_ref,high,0.5319017569224039,0.6742443905601502,500,0.938
G10_ref,low,0.17621262209320068,0.47939087947209674,500,0.938
G10_ref,medium,0.47939087947209674,0.5319017569224039,500,0.918
G10_ref,high,0.5319017569224039,0.6742443905601502,500,0.94
MN_v4a,low,0.17621262209320068,0.47939087947209674,500,0.93
MN_v4a,medium,0.47939087947209674,0.5319017569224039,500,0.932
MN_v4a,high,0.5319017569224039,0.6742443905601502,500,0.938
MN_v4b,low,0.17621262209320068,0.47939087947209674,500,0.924
MN_v4b,medium,0.47939087947209674,0.5319017569224039,500,0.93
MN_v4b,high,0.5319017569224039,0.6742443905601502,500,0.942
MN_v4c,low,0.17621262209320068,0.47939087947209674,500,0.922
MN_v4c,medium,0.47939087947209674,0.5319017569224039,500,0.922
MN_v4c,high,0.5319017569224039,0.6742443905601502,500,0.934
MN_v4d,low,0.17621262209320068,0.47939087947209674,500,0.934
MN_v4d,medium,0.47939087947209674,0.5319017569224039,500,0.93
MN_v4d,high,0.5319017569224039,0.6742443905601502,500,0.932
